tokenId,price,timestamps,expires_at,listing_date,expire_date,openSeaLink
4442,3.2,1643483339,1646075427,2022-01-29 19:08:59,2022-02-28 19:10:27,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/4442
8602,1.89,1643483271,1643701558,2022-01-29 19:07:51,2022-02-01 07:45:58,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8602
8601,1.5,1643483140,1643701708,2022-01-29 19:05:40,2022-02-01 07:48:28,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8601
7343,2.2,1643483097,1643569586,2022-01-29 19:04:57,2022-01-30 19:06:26,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/7343
8618,1.89,1643483070,1643532712,2022-01-29 19:04:30,2022-01-30 08:51:52,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8618
603,1.63,1643482946,1643569436,2022-01-29 19:02:26,2022-01-30 19:03:56,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/603
6085,1.6,1643482885,1643569371,2022-01-29 19:01:25,2022-01-30 19:02:51,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6085
6099,1.72,1643482832,1643824400,2022-01-29 19:00:32,2022-02-02 17:53:20,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6099
1122,1.33,1643482472,1646073027,2022-01-29 18:54:32,2022-02-28 18:30:27,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/1122
3126,1.34,1643482448,1646072191,2022-01-29 18:54:08,2022-02-28 18:16:31,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/3126
1151,1.69,1643482377,1646074470,2022-01-29 18:52:57,2022-02-28 18:54:30,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/1151
1635,1.69,1643482348,1646074437,2022-01-29 18:52:28,2022-02-28 18:53:57,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/1635
4540,2.09,1643482304,1643493730,2022-01-29 18:51:44,2022-01-29 22:02:10,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/4540
5102,1.69,1643482293,1646074378,2022-01-29 18:51:33,2022-02-28 18:52:58,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/5102
8729,2.09,1643482196,1643741485,2022-01-29 18:49:56,2022-02-01 18:51:25,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8729
6767,2.15,1643482133,1643741425,2022-01-29 18:48:53,2022-02-01 18:50:25,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6767
4347,10.2,1643481953,1645987810,2022-01-29 18:45:53,2022-02-27 18:50:10,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/4347
1850,1.99,1643481860,1643741067,2022-01-29 18:44:20,2022-02-01 18:44:27,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/1850
9183,1.8,1643481673,1643740958,2022-01-29 18:41:13,2022-02-01 18:42:38,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/9183
2056,1.99,1643481638,1643740925,2022-01-29 18:40:38,2022-02-01 18:42:05,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/2056
8482,3.15,1643481495,1645972162,2022-01-29 18:38:15,2022-02-27 14:29:22,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8482
8193,1.8,1643480346,1643492023,2022-01-29 18:19:06,2022-01-29 21:33:43,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8193
5363,2.1,1643480257,1643554551,2022-01-29 18:17:37,2022-01-30 14:55:51,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/5363
7796,1.95,1643480234,1643566682,2022-01-29 18:17:14,2022-01-30 18:18:02,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/7796
8131,2.05,1643480215,1643671572,2022-01-29 18:16:55,2022-01-31 23:26:12,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8131
2001,1.61,1643480123,1644084312,2022-01-29 18:15:23,2022-02-05 18:05:12,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/2001
9019,1.43,1643479984,1643738536,2022-01-29 18:13:04,2022-02-01 18:02:16,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/9019
3359,1.77,1643479770,1646047218,2022-01-29 18:09:30,2022-02-28 11:20:18,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/3359
5692,1.71,1643479668,1643541482,2022-01-29 18:07:48,2022-01-30 11:18:02,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/5692
2193,1.7,1643479644,1646026426,2022-01-29 18:07:24,2022-02-28 05:33:46,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/2193
2194,2.5,1643479623,1646060808,2022-01-29 18:07:03,2022-02-28 15:06:48,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/2194
4221,1.65,1643479482,1645974138,2022-01-29 18:04:42,2022-02-27 15:02:18,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/4221
1336,1.88,1643479305,1643484807,2022-01-29 18:01:45,2022-01-29 19:33:27,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/1336
6396,1.5,1643479268,1643565760,2022-01-29 18:01:08,2022-01-30 18:02:40,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6396
181,2.0,1643478890,1644083759,2022-01-29 17:54:50,2022-02-05 17:55:59,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/181
9916,1.44,1643478857,1646064261,2022-01-29 17:54:17,2022-02-28 16:04:21,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/9916
1171,2.0,1643478826,1643661479,2022-01-29 17:53:46,2022-01-31 20:37:59,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/1171
7477,1.9,1643478457,1646070553,2022-01-29 17:47:37,2022-02-28 17:49:13,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/7477
4817,1.99,1643478410,1644083288,2022-01-29 17:46:50,2022-02-05 17:48:08,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/4817
1668,1.69,1643478401,1643521595,2022-01-29 17:46:41,2022-01-30 05:46:35,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/1668
7478,1.45,1643478393,1646070488,2022-01-29 17:46:33,2022-02-28 17:48:08,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/7478
4146,2.0,1643478291,1643552017,2022-01-29 17:44:51,2022-01-30 14:13:37,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/4146
5484,1.588,1643478186,1643530901,2022-01-29 17:43:06,2022-01-30 08:21:41,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/5484
6444,1.72,1643478107,1645983788,2022-01-29 17:41:47,2022-02-27 17:43:08,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6444
4150,1.74,1643477864,1645983562,2022-01-29 17:37:44,2022-02-27 17:39:22,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/4150
8483,2.49,1643477813,1645983510,2022-01-29 17:36:53,2022-02-27 17:38:30,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/8483
9801,1.84,1643477553,1645983250,2022-01-29 17:32:33,2022-02-27 17:34:10,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/9801
7773,1.99,1643477361,1646010086,2022-01-29 17:29:21,2022-02-28 01:01:26,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/7773
6797,2.5,1643477089,1646069172,2022-01-29 17:24:49,2022-02-28 17:26:12,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6797
6642,2.1,1643476910,1659115261,2022-01-29 17:21:50,2022-07-29 17:21:01,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6642
9276,2.35,1643476279,1645940998,2022-01-29 17:11:19,2022-02-27 05:49:58,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/9276
9659,2.35,1643476260,1646029795,2022-01-29 17:11:00,2022-02-28 06:29:55,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/9659
7972,1.458,1643475568,1646067660,2022-01-29 16:59:28,2022-02-28 17:01:00,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/7972
6628,2.5,1643475239,1643553980,2022-01-29 16:53:59,2022-01-30 14:46:20,https://opensea.io/assets/0x0e9d6552b85be180d941f1ca73ae3e318d2d4f1f/6628
