"tokenid","total_score","residential_score","commercial_score","industrial_score","residential_boost","commercial_boost","industrial_boost","residential_buildings","commercial_buildings","industrial_buildings","public_buildings","launcher","crossing_type","color_scheme","gradient_direction","hospital","police station","fire station","football stadium","baseball stadium","soccer stadium","wind farm","solar farm","nuclear power plant","metroverse theatre","metroverse museum","metcinema","rocket launch site","crypto mining facility","unbelievaltable","rail-x-rail","river-x-river","neo tokyo throne","etherorcs battle arena","karafuru vending machine","terra attack launcher","omni attack launcher","plasma attack launcher","metro attack launcher","terra shield launcher","omni shield launcher","plasma shield launcher","metro shield launcher","terra boost launcher","omni boost launcher","plasma boost launcher","metro boost launcher"
"10001","259","78","121","60","0.22","0.21","0.08","10","9","9","6","0","rail-x-rail","80","0",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10002","292","128","50","114","0.2","0.19","0.09","12","8","12","5","0","river-x-street","80","60",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10003","283","78","131","74","0.2","0.19","0.07","11","12","10","5","0","street-x-river","160","140",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10004","280","79","112","89","0.14","0.14","0.13","11","12","8","5","0","rail-x-river","-80","-100",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10005","350","118","136","96","0.13","0.12","0","10","13","9","4","0","street-x-street","100","80",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10006","235","102","56","77","0.28","0.27","0.14","11","6","11","7","0","street-x-street","-20","-40",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10007","317","112","95","110","0.2","0.19","0.08","11","9","13","5","0","street-x-rail","100","80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10008","248","74","73","101","0.28","0.27","0.24","9","7","11","7","0","street-x-river","-40","-60",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10009","252","50","31","135","0.17","0.16","0.15","6","4","10","8","Terra Attack Launcher","street-x-street","100","80",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10010","318","109","78","95","0.22","0.21","0.08","10","8","11","6","Terra Attack Launcher","rail-x-rail","-160","-180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10011","346","94","128","124","0.08","0.07","0","8","10","10","2","0","street-x-street","100","80",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10012","246","67","123","56","0.21","0.2","0.11","9","10","7","5","0","street-x-rail","160","140",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10013","328","116","82","130","0.08","0.08","0.05","12","11","12","2","0","street-x-rail","20","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10014","344","118","65","161","0.17","0.16","0.12","13","7","11","5","0","river-x-street","-140","-160",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10015","274","100","80","94","0.25","0.24","0.07","10","7","11","7","0","street-x-street","40","20",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10016","302","22","126","154","0.1","0.09","0","5","13","12","3","0","street-x-rail","-180","160",0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
